ticker,quarter,call_date,company,n_prepared,n_qa,file_size_kb
AMD,Q4-2023,2024-01-30,"Advanced Micro Devices, Inc.",1,20,53.4
AMD,Q1-2024,2024-04-30,"Advanced Micro Devices, Inc.",1,25,52.1
AMD,Q2-2024,2024-07-30,"Advanced Micro Devices, Inc.",1,16,47.5
AMD,Q3-2024,2024-10-29,"Advanced Micro Devices, Inc.",1,22,55.3
AMD,Q4-2024,2025-02-04,"Advanced Micro Devices, Inc.",1,16,50.9
AMD,Q1-2025,2025-05-06,"Advanced Micro Devices, Inc.",1,20,54.6
AMD,Q2-2025,2025-08-05,"Advanced Micro Devices, Inc.",1,18,53.8
AMD,Q3-2025,2025-11-04,"Advanced Micro Devices, Inc.",1,21,49.2
AMD,Q4-2025,2026-02-03,"Advanced Micro Devices, Inc.",1,19,49.1
AVGO,Q1-2024,2024-03-07,Broadcom Inc.,1,19,81.0
AVGO,Q2-2024,2024-06-12,Broadcom Inc.,1,17,41.4
AVGO,Q3-2024,2024-09-05,Broadcom Inc.,1,20,40.7
AVGO,Q4-2024,2024-12-12,Broadcom Inc.,1,16,38.1
AVGO,Q1-2025,2025-03-06,Broadcom Inc.,1,15,39.0
AVGO,Q2-2025,2025-06-05,Broadcom Inc.,1,24,37.6
AVGO,Q3-2025,2025-09-04,Broadcom Inc.,1,19,41.5
AVGO,Q4-2025,2025-12-11,Broadcom Inc.,1,13,38.9
AVGO,Q1-2026,2026-03-04,Broadcom Inc.,1,15,41.9
BLK,Q4-2023,2024-01-12,"BlackRock, Inc.",1,9,71.1
BLK,Q1-2024,2024-04-12,"BlackRock, Inc.",1,9,55.3
BLK,Q2-2024,2024-07-15,"BlackRock, Inc.",1,7,57.1
BLK,Q3-2024,2024-10-11,"BlackRock, Inc.",1,11,55.5
BLK,Q4-2024,2025-01-15,"BlackRock, Inc.",1,10,58.6
BLK,Q1-2025,2025-04-11,"BlackRock, Inc.",1,7,54.5
BLK,Q2-2025,2025-07-15,"BlackRock, Inc.",1,9,56.1
