classifier,threshold,fold_std,test_acc,test_macro_f1,test_subs_p,test_subs_r,test_subs_f1,test_boil_p,test_boil_r,test_boil_f1,train_time_s,throughput
finbert_finetuned,0.28,0.07,0.964,0.909,0.976,0.983,0.98,0.863,0.815,0.838,1308.21,6
logreg_emb,0.24,0.073,0.962,0.894,0.963,0.995,0.979,0.95,0.704,0.809,0.02,388055
ensemble_rank,0.12,0.015,0.957,0.884,0.963,0.99,0.976,0.905,0.704,0.792,0.0,290199
ensemble_mean,0.51,0.087,0.957,0.882,0.96,0.993,0.976,0.925,0.685,0.787,0.0,940000
svm_rbf_emb,0.34,0.172,0.951,0.857,0.952,0.995,0.973,0.943,0.611,0.742,0.59,9079
histgbm_combined,0.87,0.22,0.949,0.855,0.954,0.99,0.972,0.895,0.63,0.739,7.63,30809
floret_real,0.88,0.169,0.945,0.846,0.953,0.986,0.969,0.85,0.63,0.723,1.91,7636
mlp_emb,0.48,0.122,0.945,0.837,0.947,0.993,0.969,0.912,0.574,0.705,3.12,225836
tfidf_ngram,0.53,0.074,0.938,0.83,0.951,0.981,0.966,0.805,0.611,0.695,0.1,23302
rules_only,0.5,0.0,0.93,0.782,0.934,0.99,0.961,0.862,0.463,0.602,0.0,648888
